"","org","cast(split_zc.doc_max as text)","zip_code","count_zip_code","latitude","longitude"
"26","ABBY MEDICAL LLC","7","19713","7",39.665662,-75.719349
"27","ABDUL G. MUNDIA PHYSICIAN PC","2","11570","2",40.667352,-73.638523
"28","ABDUL R CHAUDHRY INTERNAL MEDICINE PC","1","16701","2",41.862341,-78.63731
"29","ABERCROMBIE RADIOLOGICAL CONSULTANTS, INC.","22","37909","22",35.944822,-84.010109
"30","ABHINAND V PEDDADA MD","2","93720","3",36.850729,-119.802227
"31","ABINGDON PHYSICIAN PARTNERS","3","24210","18",36.740217,-82.026738
"32","ABINGDON RADIOLOGY SERVICES LTD","5","24210","5",36.740217,-82.026738
"33","ABINGTON HEMATOLOGY ONCOLOGY ASSOCIATES INC.","9","19090","18",40.161856,-75.10897
"34","ABINGTON MEMORIAL HOSPITAL","11","19001","25",40.123805,-75.114767
"35","ABINGTON ORTHOPAEDIC SPECIALISTS PC","1","19090","2",40.161856,-75.10897
"36","ABINGTON RADIATION ONCOLOGY, PC","1","19001","1",40.123805,-75.114767
"37","ABLE IMAGING, LLC","10","80122","10",39.582222,-104.955576
"38","ABRAHAM MITTELMAN, MD, LLC","1","10577","1",41.002757,-73.751025
"39","ABUL HASHEM MD PC","1","40965","1",36.669566,-83.693159
"40","ACADEMIC MEDICINE SERVICES, INC.","1","14215","1",42.932957,-78.812252
"41","ACADEMIC RADIATION ONCOLOGY, PC","1","87015","2",35.134731,-106.125117
"42","ACADEMIC SURGICAL ONCOLOGY ASSOCIATES","1","90048","1",33.786594,-118.298662
"43","ACADEMIC UROLOGY OF PA, LLC","1","19010","2",39.955561,-75.344833
"44","ACADIANA RADIOLOGY GROUP","11","70506","116",30.176093,-92.066315
"45","ACCESS CARE PHYSICIANS OF NJ, LLC","1","7083","1",NA,NA
"46","ACCESS COMMUNITY HEALTH NETWORK","1","60607","2",41.928881,-87.81381
"47","ACCORD PHYSICIANS, PLLC","1","11229","2",40.600988,-73.939998
"48","ACCREDITED DERMATOLOGY NEW JERSEY PC","1","80622","1",40.536158,-104.500735
"49","ACCURATE MEDICAL DIAGNOSTIC SERVICES PC","1","11215","1",40.664322,-73.984132
"50","ACCURATE RADIOLOGY, P.C.","1","48755","1",43.84452,-83.241886
"51","ACD-SA, LTD.","12","78229","24",29.269288,-98.33469
"52","ADAIR COUNTY HOSPITAL DISTRICT","2","42728","2",37.116131,-85.265586
"53","ADAIR COUNTY MEMORIAL HOSPITAL","1","50849","1",41.299977,-94.456404
"54","ADAMS COUNTY CANCER CENTER LLC","3","45679","3",38.957941,-83.535617
"55","ADENA MEDICAL GROUP LLC","8","45601","68",39.337384,-82.991332
"56","ADIRONDACK DIAGNOSTIC IMAGING INC.","1","12065","1",42.850576,-73.792524
"57","ADIRONDACK RADIATION THERAPY, PC","1","12901","1",44.71187,-73.637104
"58","ADIRONDACK RADIOLOGY ASSOCIATES, P.C.","14","12801","14",43.31888,-73.669061
"59","ADLER INSTITUTE FOR ADVANCED IMAGING, LLC.","3","19046","6",40.09796,-75.107767
"60","ADR LLC","2","21502","6",39.59915,-78.844425
"61","ADULT INPATIENT MEDICAL SERVICES","1","78759","1",30.395586,-97.750611
"62","ADULT MEDICAL ONCOLOGY HEMATOLOGY GROUP LLC","3","77391","3",29.83399,-95.434241
"63","ADULT PRIMARY CARE&PULMONARY MEDICINE PC","1","28954","1",NA,NA
"64","ADVANCE ONCOLOGY GROUP","1","603","2",NA,NA
"65","ADVANCE TECHNOLOGICAL RADIOLOGY PA","3","33837","3",28.164093,-81.647317
"66","ADVANCED BERKSHIRE MEDICAL IMAGING, PC","8","1201","18",NA,NA
"67","ADVANCED BREAST IMAGING LLC","1","60005","1",42.060928,-87.883073
"68","ADVANCED CARE ONCOLOGY AND HEMATOLOGY ASSOCIATES LLC","1","70811","2",30.555687,-91.152456
"69","ADVANCED DERMATOLOGY INC.","2","92673","4",33.459745,-117.625076
"70","ADVANCED DIAGNOSTIC IMAGING CENTER, LLC","2","29118","2",33.567493,-80.924805
"71","ADVANCED DIAGNOSTIC IMAGING OF NEW JERSEY","1","76522","1",31.202919,-97.930051
"72","ADVANCED DIAGNOSTIC IMAGING PC","61","37072","61",36.34145,-86.775747
"73","ADVANCED DIAGNOSTIC IMAGING, PC","2","47714","2",37.959092,-87.519682
"74","ADVANCED DIAGNOSTIC IMAGING, PLLC","1","11024","1",40.754757,-73.601772
"75","ADVANCED DIAGNOSTIC MEDICAL IMAGING PC","1","48138","1",42.135191,-83.156124
"76","ADVANCED ENT & ALLERGY PLLC","3","47150","6",38.293355,-85.837911
"77","ADVANCED FULLERTON IMAGING, INC.","1","92835","2",33.640302,-117.769442
"78","ADVANCED GARDEN STATE CARDIOLOGY LLC","1","73061","1",36.288043,-97.029796
"79","ADVANCED HEMATOLOGY AND ONCOLOGY OF PUERTO RICO","3","72700","6",NA,NA
"80","ADVANCED IMAGING ASSOCIATES PC","1","14020","1",42.980544,-78.231764
"81","ADVANCED IMAGING ASSOCIATES PSC","1","41240","1",37.824167,-82.794504
"82","ADVANCED IMAGING ASSOCIATES, LLC","9","74161","18",NA,NA
"83","ADVANCED IMAGING AT COMMUNITY MEDICAL CENTER, LLC","8","59804","15",46.846708,-114.169784
"84","ADVANCED IMAGING CENTER LLC","7","46375","8",41.487733,-87.441525
"85","ADVANCED IMAGING CENTER OF AMARILLO, LLP","22","79106","22",35.248669,-101.942719
"86","ADVANCED IMAGING CENTER OF LEESBURG,LLC","4","34748","4",28.758895,-81.888695
"87","ADVANCED IMAGING CENTER, INC.","9","93555","19",35.540458,-117.794007
"88","ADVANCED IMAGING CONCEPTS PL","4","34613","8",28.604951,-82.531987
"89","ADVANCED IMAGING CONSULTANTS LLC","2","62052","2",39.101894,-90.304917
"90","ADVANCED IMAGING LLC","24","73112","47",35.511007,-97.578865
"91","ADVANCED IMAGING OF ALABAMA P C","1","36207","1",33.720373,-85.753344
"92","ADVANCED IMAGING OF GADSDEN LLC","1","35901","1",34.024285,-86.074145
"93","ADVANCED IMAGING OF PORT CHARLOTTE LLC","5","33952","10",26.994048,-82.156128
"94","ADVANCED IMAGING OF REDDING INC","12","96002","12",40.624448,-122.3076
"95","ADVANCED IMAGING OF SOUTH BAY, INC.","19","90503","19",33.786594,-118.298662
"96","ADVANCED IMAGING RESOURCES CO","19","74137","51",36.017296,-95.93902
"97","ADVANCED INTERVENTIONS, SC","1","53215","2",43.006014,-87.942935
"98","ADVANCED MAGNETIC IMAGING","1","70931","1",NA,NA
"99","ADVANCED MEDICAL ASSOCIATES, SC","1","60076","2",42.057878,-87.883566
"100","ADVANCED MEDICAL IMAGING","2","12550","2",41.38537,-74.185363
"101","ADVANCED MEDICAL IMAGING LLC","5","46902","5",40.444291,-86.17559
"102","ADVANCED MEDICAL IMAGING OF IOWA, PC","3","50316","3",41.609988,-93.600816
"103","ADVANCED MEDICAL IMAGING, LLC","27","68506","54",40.804064,-96.687195
"104","ADVANCED MEDICAL TESTING SYSTEMS INC","1","63031","1",38.805499,-90.351314
"105","ADVANCED MRI IMAGING, PLLC","7","48033","14",NA,NA
"106","ADVANCED NEURODIAGNOSTIC CENTER, INC","1","70006","1",30.013413,-90.195842
"107","ADVANCED OB/GYN, PC","1","11229","1",40.600988,-73.939998
"108","ADVANCED ONCOLOGY PC","1","10013","1",40.722105,-74.003497
"109","ADVANCED OPEN MRI & DIAGNOSTIC IMAGING PA","1","87555","1",NA,NA
"110","ADVANCED PREFERRED IMAGING PSC","5","47713","7",37.95219,-87.547564
"111","ADVANCED RADIATION CENTER OF KANSAS CITY LLC","2","66209","2",38.898356,-94.637684
"112","ADVANCED RADIATION ONCOLOGY ASSOCIATES OF ROCKLAND, PC","2","10960","2",41.080474,-73.930179
"113","ADVANCED RADIATION ONCOLOGY ASSOCIATES, PC","5","18015","5",40.58883,-75.351958
"114","ADVANCED RADIATION ONCOLOGY CENTER OF ILLINOIS INC","2","60031","5",42.375121,-87.939683
"115","ADVANCED RADIATION ONCOLOGY MEDICAL GROUP, INC.","1","91792","1",33.786594,-118.298662
"116","ADVANCED RADIATION ONCOLOGY P.A.","3","33458","3",26.645895,-80.430269
"117","ADVANCED RADIOLOGIC PHYSICIANS, INC.","3","43402","9",41.376449,-83.613714
"118","ADVANCED RADIOLOGICAL IMAGING ASSOCIATES, P.C.","3","11373","3",40.73509,-73.877562
"119","ADVANCED RADIOLOGICAL IMAGING-ASTORIA PC","8","11102","8",40.770808,-73.92516
"120","ADVANCED RADIOLOGICAL PET IMAGING, P.C.","2","11102","2",40.770808,-73.92516
"121","ADVANCED RADIOLOGY ASSOCIATES OF SOUTHERN TN, PLLC","2","37398","2",35.146602,-86.102966
"122","ADVANCED RADIOLOGY CONSULTANTS SC","17","60068","17",42.037228,-87.843714
"123","ADVANCED RADIOLOGY CONSULTANTS, LLC","26","66111","26",39.086354,-94.786033
"124","ADVANCED RADIOLOGY CORPORATION","1","44333","2",41.155154,-81.631394
"125","ADVANCED RADIOLOGY GROUP","2","917","4",NA,NA
"126","ADVANCED RADIOLOGY IMAGING ASSOCIATES LLC","1","33919","2",26.572627,-81.937186
"127","ADVANCED RADIOLOGY LLC","6","65201","6",38.894165,-92.274145
"128","ADVANCED RADIOLOGY MEDICAL GROUP, INC.","1","91776","1",33.786594,-118.298662
"129","ADVANCED RADIOLOGY OF GRAND ISLAND PC","5","68803","5",40.872531,-98.521343
"130","ADVANCED RADIOLOGY OF JEFFERSON CITY, LLC","6","65109","12",38.550219,-92.299267
"131","ADVANCED RADIOLOGY OF RIVERWINDS, LLC","1","80532","1",40.457758,-105.447005
"132","ADVANCED RADIOLOGY SERVICES, P.C.","1","46220","1",39.86904,-86.10895
"133","ADVANCED RADIOLOGY, INC.","4","29042","4",33.237543,-81.104895
"134","ADVANCED RADIOLOGY, P.A.","89","21042","178",39.261897,-76.897247
"135","ADVANCED RADIOLOGY, S.C.","16","52722","59",41.57048,-90.529138
"136","ADVANCED RADIOLOGY,PC","4","38305","4",35.652446,-88.835682
"137","ADVANCED UROLOGIC ASSOCIATES INC","3","64055","3",39.048523,-94.415628
"138","ADVANCED UROLOGIC RADIATION ASSOCIATES, LLC","1","87015","4",35.134731,-106.125117
"139","ADVANCED UROLOGY ASSOCIATES","2","60431","5",41.471206,-87.93909
"140","ADVANCED UROLOGY INC","3","44515","6",41.097937,-80.759813
"141","ADVANCED UROLOGY, LLC","1","46260","2",39.89384,-86.137988
"142","ADVANCED VASCULAR RESOURCES OF ATLANTA LLC","1","30309","2",33.797854,-84.387726
"143","ADVANCED VASCULAR SOLUTIONS, P.A.","1","77243","2",29.83399,-95.434241
"144","ADVANCED VEIN THERAPIES PLLC","3","48377","6",42.49917,-83.477335
"145","ADVANCED VEIN TREATMENT AND IMAGING CENTER LLC","1","60463","2",41.811929,-87.68732
"146","ADVANTAGE HEALTH/SAINT MARY'S MEDICAL GROUP","4","49503","8",42.956176,-85.660693
"147","ADVANTAGE RADIALOGY. PC","1","11235","2",40.584455,-73.948402
"148","ADVENTIST HEALTH PARTNERS, INC","6","60521","14",41.78213,-87.966845
"149","ADVENTIST HEALTH PHYSICIANS NETWORK","7","93230","50",36.220468,-119.71776
"150","ADVENTIST HEALTH ST. HELENA OB/GYN","4","95422","9",38.946476,-122.657017
"151","ADVENTIST HEALTH SYSTEM GEORGIA INC","1","30701","1",34.496921,-84.887942
"152","ADVENTIST HINSDALE HOSPITAL","1","60521","1",41.78213,-87.966845
"153","ADVOCARE LLC","1","80534","3",40.320091,-104.867196
"154","ADVOCATE HEALTH AND HOSPITALS CORPORATION","32","60453","116",41.811929,-87.68732
"155","ADVOCATE NORTH SIDE HEALTH NETWORK","7","60653","7",41.811929,-87.68732
"156","AEMON R TECHEIRA MD LLC","1","88240","1",32.646864,-103.263575
"157","AFFILIATED CANCER SPECIALISTS PC","6","60901","12",41.111151,-87.874618
"158","AFFILIATED COMMUNITY MEDICAL CENTERS","3","56201","3",45.147104,-94.977723
"159","AFFILIATED ONCOLOGISTS, LLC","16","60429","47",41.811929,-87.68732
"160","AFFILIATED RADIOLOGISTS, SC","25","60612","39",41.811929,-87.68732
"161","AFFILIATES IN IMAGING, A MEDICAL GROUP INC","27","94609","103",37.834776,-122.26328
"162","AFFINITY PHYSICIANS LLC.","3","28862","3",NA,NA
"163","AFTER HOURS HEALTHCARE CORPORATION","1","95032","2",37.070923,-121.66186
"164","AFZAL H KHAN MD PA","1","33150","2",25.852273,-80.207219
"165","AG RADIOLOGY IMAGING CENTER, LLC","1","77041","1",29.83399,-95.434241
"166","AGNESIAN HEALTHCARE INC","6","54935","12",43.734724,-88.523176
"167","AGUADILLA X RAY OFFICE AND BODY IMAGING CENTER","1","60500","2",NA,NA
"168","AHMC INTERNATIONAL CANCER CENTER","3","91754","4",33.786594,-118.298662
"169","AHS OKLAHOMA PHYSICIAN GROUP LLC","4","74063","4",36.118535,-96.186776
"170","AILAWADI SURGICAL ASSOCIATES PC","1","18102","1",40.607006,-75.480877
"171","AIRLIE RADIOLOGY PA","1","28403","3",34.139742,-77.870418
"172","AITKIN COMMUNITY HOSPITAL INC.","1","56431","1",46.563605,-93.430495
"173","AJAY K GOYAL MD PA","4","34947","8",27.445611,-80.387742
"174","AKRON RADIATION ONCOLOGY ASSOC., INC.","4","44307","4",41.073207,-81.543889
"175","AKRON RADIOLOGY INC","31","96815","69",24.859832,-168.021815
"176","ALAA M. LATIF, M.D., INC.","1","91767","1",33.786594,-118.298662
"177","ALAA OWAINATI MD PC","1","48341","4",42.633716,-83.291471
"178","ALABAMA CANCER CARE, LLC","1","35901","1",34.024285,-86.074145
"179","ALABAMA COASTAL RADIOLOGY, PC","15","36607","15",30.788123,-88.088073
"180","ALABAMA IMAGING PC","23","36801","23",32.621147,-85.392878
"181","ALABAMA ORTHOPAEDIC CLINIC, PC","1","36608","1",30.639867,-88.25445
"182","ALABAMA ORTHOPAEDIC SPECIALISTS, P.A.","7","36106","7",32.353338,-86.257517
"183","ALABAMA RADIOLOGISTS PC","10","35023","20",33.478989,-86.944763
"184","ALAMANCE REGIONAL MEDICAL CENTER, INC.","6","27215","6",36.091025,-79.430129
"185","ALAMEDA COUNTY MEDICAL CENTER","17","94602","29",37.802777,-122.204578
"186","ALAMOGORDO IMAGING CENTER LLC","22","88310","22",32.870046,-105.948967
"187","ALAN D. HUGHES","1","37421","1",35.040495,-85.153781
"188","ALAN K MUNOZ MD PA","2","75251","4",32.895102,-96.734178
"189","ALASKA IMAGING ASSOCIATES, LLC","10","99645","10",62.257284,-149.633916
"190","ALASKA NATIVE TRIBAL HEALTH CONSORTIUM","18","99508","36",61.205076,-149.823203
"191","ALASKA ONCOLOGY AND HEMATOLOGY LLC","4","99508","8",61.205076,-149.823203
"192","ALASKA RADIATION ONCOLOGY SPECIALISTS, INC","2","99508","4",61.205076,-149.823203
"193","ALASKA RADIOLOGY ASSOCIATES INC","12","99508","12",61.205076,-149.823203
"194","ALASKA UROLOGICAL INSTITUTE PC","3","99701","3",64.644047,-147.522052
"195","ALASKA WOMEN'S ADVANCED PELVIC SURGERY & UROGYNECOLOGY LLC","1","99508","1",61.205076,-149.823203
"196","ALASKA WOMENS CANCER CARE LLC","2","99508","4",61.205076,-149.823203
"197","ALBANY ADVANCED IMAGING PLLC","11","12205","22",42.719799,-73.820666
"198","ALBANY COUNTY HOSPITAL DISTRICT","4","82072","4",41.582018,-105.708717
"199","ALBANY GENERAL HOSPITAL","4","97321","12",44.594489,-122.581676
"200","ALBANY MEDICAL CENTER HOSPITAL","37","12208","37",42.654658,-73.805866
"201","ALBANY MEDICAL COLLEGE","5","12208","8",42.654658,-73.805866
"202","ALBANY RADIATION ONCOLOGY ASSOCIATES LLC","2","12208","2",42.654658,-73.805866
"203","ALBEMARLE HOSPITAL AUTHORITY","2","27909","2",36.293633,-76.271958
"204","ALBERT C MAK MD INC","2","90033","5",33.786594,-118.298662
"205","ALBERT COHEN MD PA","1","33484","1",26.454218,-80.13473
"206","ALBUQUERQUE INDIAN HEALTH CENTER","1","87106","1",35.04319,-106.489592
"207","ALDRIC J SHIM MD INC","1","90006","2",33.786594,-118.298662
"208","ALEGENT CREIGHTON CLINIC","13","68127","13",41.207414,-96.061154
"209","ALEGENT HEALTH IMMANUEL MEDICAL CENTER","1","51555","1",41.605102,-95.908803
"210","ALEJANDRO N BUGNONE MD, P.A.","1","78504","2",26.326284,-98.233488
"211","ALEXANDER WONG, MD,PA","1","77082","3",29.83399,-95.434241
"212","ALEXANDRE B DE MOURA, MD, PC","2","11590","2",40.74505,-73.571521
"213","ALEXEI ARKHIPOV, M.D., P.A.","1","78224","2",29.326065,-98.456031
"214","ALI A ALLEY MD PC","2","18603","2",41.056142,-76.299844
"215","ALI SALEHI MD PA","1","77008","2",29.83399,-95.434241
"216","ALICE HYDE MEDICAL CENTER","1","12953","13",44.859117,-74.288237
"217","ALISAN B GOLDFARB M.D. P.C.","1","10128","2",40.780989,-73.95158
"218","ALL AMERICAN TELERADIOLOGY LLC","2","18017","3",40.662211,-75.39027
"219","ALLAN S KRATZER MD PC","1","64512","1",NA,NA
"220","ALLEGAN GENERAL HOSPITAL","1","49010","1",42.539295,-85.894873
"221","ALLEGANY IMAGING, PC","8","21502","16",39.59915,-78.844425
"222","ALLEGHANY COUNTY MEMORIAL HOSPITAL","1","28675","1",36.495157,-81.140955
"223","ALLEGHENY RADIOLOGY ASSOCIATES, LTD","46","15212","46",40.428169,-80.074977
"224","ALLEGHENY SPECIALTY PRACTICE NETWORK","37","15224","174",40.434436,-80.024817
"225","ALLEN PARISH HOSPITAL DISTRICT #3","3","70648","3",30.578402,-92.928777
"226","ALLEN ROTHPEARL MD PC","1","11040","1",40.729351,-73.682824
"227","ALLENTOWN RADIATION ONCOLOGY ASSOCIATES PC","6","18103","12",40.604372,-75.473127
"228","ALLERGY DERMATOLOGY & SKIN CANCER CENTER INC","1","34952","2",27.312492,-80.313322
"229","ALLIANCE CANCER SPECIALISTS, P.C.","19","19114","19",40.019816,-75.065617
"230","ALLIANCE COMMUNITY RADIOLOGISTS INC","4","44601","4",40.820292,-81.335275
"231","ALLIANCE MEDICAL GROUP, INC.","1","67621","1",39.760857,-99.119565
"232","ALLIANCE ONCOLOGY LLC","8","63801","12",37.027479,-89.563988
"233","ALLIANCE PHYSICIANS, INC.","14","45458","28",39.606209,-84.169519
"234","ALLIANCE RADIOLOGY, PA","52","66213","121",38.898243,-94.704936
"235","ALLINA HEALTH SYSTEM","119","55302","156",45.218652,-94.105948
"236","ALLISON CURTIS KINGSLEY MEOZ MICHAEL SANCHEZ PC","28","89014","56",36.283135,-114.804393
"237","ALLRAD PLLC","1","74601","1",36.736868,-97.18908
"238","ALPENA RADIOLOGY ASSOCIATES","4","49707","4",45.033143,-83.495091
"239","ALPENA REGIONAL MEDICAL CENTER","2","49707","4",45.033143,-83.495091
"240","ALPHA IMAGING CONSULTANTS, PLLC","1","10016","1",40.745527,-73.978449
"241","ALPHA IMAGING, INC.","1","30458","2",32.425,-81.784956
"242","ALPHA MED PHYSICIANS GROUP","13","60463","26",41.811929,-87.68732
"243","ALPHA MEDICAL GROUP,LTD.","6","19115","6",40.07841,-75.045065
"244","ALPHA NEUROLOGY PC","3","10306","3",40.559668,-74.12241
"245","ALPHARAD INC","1","84604","2",40.317059,-111.608241
"246","ALPINE DIAGNOSTIC IMAGING PA","1","79830","2",30.357926,-103.66029
"247","ALPINE HEMATOLOGY-ONCOLOGY","4","89503","8",39.547117,-119.901957
"248","ALPINE RADIATION ONCOLOGY SERVICES, PLLC","1","80026","1",40.026334,-105.104899
"249","ALTA CT SERVICES","13","94704","26",37.866975,-122.256729
"250","ALTON MEMORIAL HOSPITAL","5","62002","5",38.929065,-89.968862
"251","ALTON WONG MD, SC","1","60629","1",41.811929,-87.68732
"252","ALTRU HEALTH SYSTEM","77","55101","115",44.967965,-93.092168
"253","ALVARO J. RAMOS, MD, PA","1","78411","1",27.732089,-97.385169
"254","AMA RADIOLOGY ASSOCIATES, LLC","2","85020","2",33.276539,-112.18717
"255","AMARILLO UROLOGY ASSOCIATES LLP","2","79106","2",35.248669,-101.942719
"256","AMBOY MEDICAL PRACTICE PC","3","10310","3",40.632943,-74.118669
"257","AMELIN RADIOLOGY P.A.","5","71093","5",NA,NA
"258","AMERICAN ACCESS CARE OF ATLANTA LLC","1","30030","2",33.772554,-84.291723
"259","AMERICAN ACCESS CARE OF BALTIMORE","1","21236","2",39.392107,-76.489277
"260","AMERICAN ACCESS CARE OF DETROIT LLC","1","48312","2",42.566338,-83.028532
"261","AMERICAN ACCESS CARE OF FLORIDA, LLC","1","33313","2",26.148662,-80.207519
"262","AMERICAN ACCESS CARE OF JACKSONVILLE LLC","1","32204","2",30.323539,-81.681068
"263","AMERICAN ACCESS CARE OF MIAMI, LLC","1","33156","2",25.558428,-80.458168
"264","AMERICAN ACCESS CARE OF NC, PLLC","3","27513","3",35.801341,-78.816564
"265","AMERICAN ACCESS CARE OF NEW JERSEY, LLC","2","80342","4",NA,NA
"266","AMERICAN ACCESS CARE OF PENNSYLVANIA, LLC","3","19152","3",40.014011,-75.086818
"267","AMERICAN ACCESS CARE OF RICHMOND","1","23230","1",37.592095,-77.495206
"268","AMERICAN ACCESS CARE OF SP LLC","4","19145","4",39.917002,-75.1877
"269","AMERICAN ACCESS CARE OF TOWSON, LLC","1","21286","2",39.414306,-76.576089
"270","AMERICAN ACCESS CARE PHYSICIANS PLLC","7","11215","9",40.664322,-73.984132
"271","AMERICAN CANCER CARE PC","1","60016","2",42.048278,-87.890466
"272","AMERICAN CANCER CENTER","1","60120","2",41.990689,-88.429777
"273","AMERICAN CURRENT CARE OF MICHIGAN PC","1","48093","1",42.514886,-83.006613
"274","AMERICAN DIAGNOSTICS MEDICAL PLLC","1","11743","2",40.867647,-73.410218
"275","AMERICAN HEALTH IMAGING OF DALLAS LLC","1","75246","2",32.793328,-96.773179
"276","AMERICAN HEALTH NETWORK OF INDIANA, LLC","28","46979","38",40.42573,-86.269717
"277","AMERICAN IMAGING AND MRI, LLC","2","30326","3",33.849615,-84.360881
"278","AMERICAN IMAGING CENTER INC","9","76312","18",NA,NA
"279","AMERICAN IMAGING CENTER OF WEST ORANGE LLC","12","70525","12",30.382556,-92.318696
"280","AMERICAN IMAGING OF EDISON LLC","12","88202","12",33.303825,-104.431788
"281","AMERICAN IMAGING OF JERSEY CITY","12","73062","12",35.087227,-98.806836
"282","AMERICAN MEDICAL SERVICE INC.","1","77707","2",30.009716,-94.162252
"283","AMERICAN MULTISPECIALTY GROUP INC.","5","63117","10",38.629452,-90.334215
"284","AMERICAN ONCOLOGIC ASSOCIATES OF MICHIGAN, PC","10","48341","10",42.633716,-83.291471
"285","AMERICAN PROFESSIONAL ASSOCIATES LLC","14","30084","14",33.853945,-84.215369
"286","AMERICAN RADIOLOGY ASSOCIATES PA","55","21014","517",39.547557,-76.321984
"287","AMERICAN RADIOLOGY CONSULTANTS PLLC","46","75165","49",32.376984,-96.843682
"288","AMERICAN RADIOLOGY SERVICES BANYAN CENTER LLC","3","34102","3",26.133968,-81.795309
"289","AMERY REGIONAL MEDICAL CENTER, INC.","1","54001","1",45.348566,-92.401379
"290","AMG ILLINOIS LTD","1","60031","1",42.375121,-87.939683
"291","AMH MEDICAL STAFF SERVICE FUND","11","19001","15",40.123805,-75.114767
"292","AMHERST DIAGNOSTIC IMAGING PC","7","14226","7",42.974389,-78.794905
"293","AMI ATLANTICARE LLC","37","80371","37",NA,NA
"294","AMIN RADIOLOGY INC","2","34428","2",28.958393,-82.599279
"295","AMIRALI S POPATIA MD PA","1","77469","2",29.555831,-95.788479
"296","AMNUAY SINGHAKOWINTA M D MALGORZATA SOBILO M D P C","1","48362","2",42.776329,-83.274778
"297","AMRUT HEMATOLOGY ONCOLOGY PC","1","11426","1",40.736798,-73.723176
"298","AMY J BYER MD PC","1","20852","1",39.052158,-77.121096
"299","AMY Q WANG MD A PROFESSIONAL MEDICAL CORP","1","90033","1",33.786594,-118.298662
"300","AN OPEN MRI IMAGING OF NEWARK, LLC","1","71056","1",NA,NA
"301","ANAHEIM RADIOLOGY MEDICAL GROUP, INC.","1","90274","1",33.786594,-118.298662
"302","ANALYTIC MEDICAL IMAGING LTD","22","85015","38",33.478293,-112.115805
"303","ANCHORAGE ASSOCIATES IN RADIATION MEDICINE, LLC","3","99508","3",61.205076,-149.823203
"304","ANCHORAGE FRACTURE AND ORTHOPAEDIC CLINIC, PC","1","99508","2",61.205076,-149.823203
"305","ANDERSON AREA CANCER CENTER ONCOLOGY-HEMATOLOGY CLINIC, P.A.","4","29621","4",34.492718,-82.638297
"306","ANDERSON DIAGNOSTIC IMAGING, INC","2","29621","4",34.492718,-82.638297
"307","ANDERSON HOSPITAL PROVIDERS INC","2","39301","2",32.381605,-88.663489
"308","ANDERSON RADIOLOGY ASSOCIATES LLP","10","45230","10",39.071262,-84.37584
"309","ANDREA GAYE EDWARDS MD INC","1","95065","1",37.033568,-121.982632
"310","ANDREAS A. SAVOPOULOS,M.D.P.A.","1","70522","1",29.75226,-91.439679
"311","ANDRESITO B. PACIS MD P.C","1","10458","1",40.864728,-73.889855
"312","ANDREW J KAUFMAN MD A MEDICAL CORPORATION","2","91360","2",34.213403,-118.800204
"313","ANDREW L. SIMON M.D., F.A.C.S, P.A.","1","87247","2",NA,NA
"314","ANDREWS & PATEL ASSOCIATES, PC","9","17011","9",40.251914,-77.079091
